freq(Hz),pow(dB/Hz)
3649.8779296875,-13.855861679580663
3660.64453125,-11.9693126327908
3671.4111328125,-12.014337837601632
3682.177734375,-14.00245796138261
3692.9443359375,-18.257707667704857
3703.7109375,-19.481676258616496
3714.4775390625,-15.419632405846126
3725.244140625,-14.286044098780833
3736.0107421875,-16.946279170842732
3746.77734375,-27.084037107935565
3757.5439453125,-25.202287865212313
3768.310546875,-19.45245756929866
3779.0771484375,-17.805309557011263
3789.84375,-14.6044486109415
3800.6103515625,-10.628632395200748
3811.376953125,-7.841771658549794
3822.1435546875,-6.365559046975012
3832.91015625,-5.917033820740546
3843.6767578125,-6.121452950891344
3854.443359375,-6.613891253982784
3865.2099609375,-7.32286523284086
3875.9765625,-8.502327873895549
3886.7431640625,-10.338623704036426
3897.509765625,-12.642637211005134
3908.2763671875,-14.830098142673261
3919.04296875,-16.42544462801573
3929.8095703125,-17.645976667595512
3940.576171875,-18.670282322795742
3951.3427734375,-18.535360077376748
3962.109375,-16.87146510843657
3972.8759765625,-15.015786092186453
3983.642578125,-13.75630540961531
3994.4091796875,-13.257334716703792
4005.17578125,-13.525021062044164
4015.9423828125,-14.507326376254092
4026.708984375,-16.00629981830798
4037.4755859375,-17.49894183037949
4048.2421875,-18.388228956027408
4059.0087890625,-18.94334259916358
4069.775390625,-20.327438819537555
4080.5419921875,-24.147310420606843
4091.30859375,-34.08717110404129
4102.0751953125,-34.477068644787686
4112.841796875,-27.686717873256136
4123.6083984375,-22.58376837889463
4134.375,-19.105895482740266
4145.1416015625,-17.60044191232343
4155.908203125,-17.61587194013595
4166.6748046875,-18.124426345286363
4177.44140625,-17.404445504920186
4188.2080078125,-15.62303656893498
4198.974609375,-14.12015561470972
4209.7412109375,-13.190804191038632
4220.5078125,-12.488067697430118
4231.2744140625,-11.770904713002867
4242.041015625,-11.37020406271002
4252.8076171875,-11.621800081399996
4263.57421875,-12.49929637348195
4274.3408203125,-13.879166192290635
4285.107421875,-15.798321888104056
4295.8740234375,-18.2962843860962
4306.640625,-20.172026649354372
4317.4072265625,-18.52547915492995
4328.173828125,-15.458567158246598
4338.9404296875,-13.28388821544869
4349.70703125,-12.294169455282413
4360.4736328125,-12.522203855352977
4371.240234375,-14.09586451249865
4382.0068359375,-16.992610737786915
4392.7734375,-19.940313407878726
4403.5400390625,-20.856484524458505
4414.306640625,-19.706386321886235
4425.0732421875,-15.89631204387888
4435.83984375,-12.444818692804168
4446.6064453125,-10.813715185328068
4457.373046875,-10.879800007390212
4468.1396484375,-11.659198997082306
4478.90625,-10.3921966894711
4489.6728515625,-7.0034508746832715
4500.439453125,-4.017258674006632
4511.2060546875,-2.112508496941671
4521.97265625,-1.2016315523769936
4532.7392578125,-0.9533107556307088
4543.505859375,-0.8362930634768466
4554.2724609375,-0.31476429125370187
4565.0390625,0.7140953678468858
4575.8056640625,1.753640220040718
4586.572265625,2.15334744010448
4597.3388671875,1.547050528926742
4608.10546875,0.11346239026679808
4618.8720703125,-0.9939527573786342
4629.638671875,-0.6226613714268021
4640.4052734375,0.4099119628003626
4651.171875,1.1814204910374728
4661.9384765625,1.5113359916467557
4672.705078125,1.4549253735046899
4683.4716796875,0.9718524459228928
4694.23828125,-0.20260611252910135
4705.0048828125,-2.198137203027016
4715.771484375,-3.3141395754427623
4726.5380859375,-0.9883000586293488
4737.3046875,1.5921207981769336
4748.0712890625,2.3775823685311166
4758.837890625,1.8334126393722547
